Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Ankeniheny-Zahamena-Mantadia Biodiversity Conservation Corridor and Restoration Project (Reforestation Component)","7COYHD5A226DPJ9MMFBP9CGGTSAWSA","WB-CF","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Madagascar",Withdrawn,2007-12-03T00:00:00.000Z,2027-12-03T00:00:00.000Z,0,0,0,0
"Reforestation project using native species in Maringa-Lopori-Wamba region (Democratic Republic of Congo): establishment of the "Bonobo Peace Forest"","96G0M9Q69QM250KM51XO0SFEWR47WD","Institut Congolais pour la Conservation de la Nature, University of Florence","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","Democratic Republic of Congo",Withdrawn,2009-01-01T00:00:00.000Z,2039-01-01T12:00:00.000Z,0,0,0,0
"CARBON SEQUESTRATION THROUGH REFORESTATION IN THE BOLIVIAN TROPICS BY SMALLHOLDERS OF FSCIPAY (La Federación Sindical de Comunidades Interculturales Productores Agropecuarios de Yapacaní)","06BPZD10ANRN889HD6IGZY9MMSDCRX","n.a.","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Bolivia",Withdrawn,2007-11-20T00:00:00.000Z,2028-11-19T06:00:00.000Z,0,0,0,0
"Futuro Forestal Nicaragua Reforestation Program","842J7KCG5SRVNU5AZ2O6DK8SK18ND1","WB-CF, Opera","CDM Registry","CDM - AR-AM0004","NA","Nicaragua",Validated,2007-05-28T00:00:00.000Z,2014-05-27T00:00:00.000Z,0,0,0,0
"THAMMA RAKSA - REFORESTATION AND LAND RESTORATION IN THAILAND","3581","The PURE PROJECT SAS","Verra","VCS-AR-AMS0007","Agriculture; forestry and fishing","Thailand",Listed,,,0,0,0,0
"Carbono Flor y Nuevo","3","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,30962,26318,4644
"CARBONO GRESCO2","17","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,464752,281592,183160
"Carbono Verde","79","Tekia S.A.S","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,141329,33841,107488
"Carbono Agroporvanda","1","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,81169,68994,12175
"Bonos Verdes Colombia Grupo Custodiar S.A.","15","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,865055,732466,132589
"Proyecto Carbono CAS","73","Compañia Agricola de la Sierra Sucursal Colombia","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,1428514,32212,1396302
"Rio Crepori REDD+ Project","129","Indigenous Carbon LLC","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Registered,,,0,0,0,0
"CARBONO NEGOCIOS AGROFORESTALES","21","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,104112,38382,65730
"Carbono Hass","181","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,21026,110,20916
"Carbono Bagatela","23","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,86699,48627,38072
"Reforestación de suelos degradados por la ganadería y la agricultura en Antioquia","13","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,92661,78762,13899
"Vilhena REDD+ Project","138","Indigenous Carbon LLC","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Approved,,,0,0,0,0
"Carbono La Puya y San Lorenzo","5","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,60535,43883,16652
"CARBONO RINCCO","59","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,307899,37379,270520
"MultiAntioquia","26","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,136268,115827,20441
"Proyecto de Mitigación Forestal Bonanza Verde","12","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,12759,10845,1914
"Carbono Agrorios","2","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,11195,9516,1679
"Rio Maicimirim REDD+ Project","144","PARATINTIN OPIPAM DO AMAZONAS","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Approved,,,0,2829681,0,2829681
"SKCARBONO","46","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,6808908,4157344,2651564
"Programa de Compensaciones de Gases de Efecto Invernadero (GEI) – Reforestadora Cacerí S.A.","32","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,188603,160313,28290
"Proyecto Forestal de Mitigación de Cambio Climático en áreas degradadas por ganadería Fincas La Clara y Suebrá","11","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,37305,31709,5596
"Proyecto forestal de mitigación de cambio climático “Forestal de La Orinoquía”","8","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,1156938,972105,184833
"Bonos de Carbono Caracoli","10","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,202005,126861,75144
"Carbono Ganados y Bosques","30","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,225734,147664,78070
"Carbono Reforesta","24","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,13628,11584,2044
"Carbono Inmunizar","42","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,27491,23366,4125
